long,lat,calle_nombre,calle_altura,modelo,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4327488011357,-34.583747581199496,"JUSTO, JUAN B. AV.",1285,MECÁNICA,Palermo,Comuna 14,1414,C1414CWB
-58.43564067683539,-34.5858786156995,"JUSTO, JUAN B. AV.",1591,MECÁNICA,Palermo,Comuna 14,1414,C1414CWE
-58.4432511661349,-34.5938933337992,"JUSTO, JUAN B. AV.",2455,MECÁNICA,Villa Crespo,Comuna 15,1414,C1414CXA
-58.4589683160334,-34.6049784189991,"JUSTO, JUAN B. AV.",4048,MECÁNICA,Caballito,Comuna 6,1416,C1416DJU
-58.4609161036333,-34.6062978734991,"JUSTO, JUAN B. AV.",4246,MECÁNICA,Caballito,Comuna 6,1416,C1416DJW
-58.463327787833,-34.6076507159991,"JUSTO, JUAN B. AV.",4455,MECÁNICA,Villa Gral. Mitre,Comuna 11,1416,C1416DJL
-58.4650389229329,-34.609296069199,"JUSTO, JUAN B. AV.",4645,MECÁNICA,Villa Gral. Mitre,Comuna 11,1416,C1416DKA
-58.47113022343229,-34.6129005083991,"JUSTO, JUAN B. AV.",5195,MECÁNICA,Villa Gral. Mitre,Comuna 11,1416,C1416DKF
-58.47271008873221,-34.614310951599,"JUSTO, JUAN B. AV.",5335,MECÁNICA,Villa Gral. Mitre,Comuna 11,1416,C1416DKH
-58.47539799833201,-34.6171050269989,"JUSTO, JUAN B. AV.",5615,MECÁNICA,Villa Santa Rita,Comuna 11,1416,C1416DKK
-58.4782774156318,-34.619682168098805,"JUSTO, JUAN B. AV.",5899,MECÁNICA,Villa Santa Rita,Comuna 11,1416,C1416DKM
-58.4814059625315,-34.6223474927987,"JUSTO, JUAN B. AV.",6235,MECÁNICA,Villa Santa Rita,Comuna 11,1407,C1407FAA
-58.4839840299313,-34.6242346680987,"JUSTO, JUAN B. AV.",6527,MECÁNICA,Floresta,Comuna 10,1407,C1407FAD
-58.487151440230896,-34.6254581208988,"JUSTO, JUAN B. AV.",6793,MECÁNICA,Floresta,Comuna 10,1407,C1407FAF
