"Longitud","Latitud","Calle","Altura","Materiales","Barrio","Comuna","Calle2","Direccion","Tipo"
"-58.5083754381277","-34.6213430883006","ALVAREZ JONTE AV.",5069,"MECÁNICA","Monte Castro","Comuna 10","1407.0","C1407GPE","campanas_verdes"
"-58.5100662812275","-34.6228309220005","ALVAREZ JONTE AV.",5163,"MECÁNICA","Monte Castro","Comuna 10","1407.0","C1407GPF","campanas_verdes"
"-58.5124153018273","-34.6249017271005","ALVAREZ JONTE AV.",5379,"MECÁNICA","Monte Castro","Comuna 10","1407.0","C1407GPH","campanas_verdes"
"-58.5153144461271","-34.6274577813004","ALVAREZ JONTE AV.",5695,"MECÁNICA","Monte Castro","Comuna 10","1407.0","C1407GPK","campanas_verdes"
"-58.516741910727","-34.6295837210003","ALVAREZ JONTE AV.",5933,"MECÁNICA","Versalles","Comuna 10","1408.0","C1408BXB","campanas_verdes"
"-58.5189288253268","-34.6311688057003","ALVAREZ JONTE AV.",6173,"MECÁNICA","Versalles","Comuna 10","1408.0","C1408BXD","campanas_verdes"
"-58.5082984908243","-34.5721331853056","ALVAREZ PRADO, MANUEL",2462,"MECÁNICA","Villa Pueyrredon","Comuna 12","1419.0","C1419FWB","campanas_verdes"
"-58.4473664477335","-34.5819901126007","ALVAREZ THOMAS AV.",210,"MECÁNICA","Chacarita","Comuna 15","1427.0","C1427CCP","campanas_verdes"
"-58.4487590750332","-34.5812346946008","ALVAREZ THOMAS AV.",339,"MECÁNICA","Colegiales","Comuna 13","1427.0","C1427CCD","campanas_verdes"
"-58.4523730789326","-34.5799362023012","ALVAREZ THOMAS AV.",739,"MECÁNICA","Colegiales","Comuna 13","1427.0","C1427CCH","campanas_verdes"
"-58.4533448077325","-34.5798358492013","ALVAREZ THOMAS AV.",794,"MECÁNICA","Chacarita","Comuna 15","1427.0","C1427CCU","campanas_verdes"
"-58.4567235226319","-34.5786091614016","ALVAREZ THOMAS AV.",1071,"MECÁNICA","Colegiales","Comuna 13","1427.0","C1427CCK","campanas_verdes"
"-58.4624539018311","-34.578263991402","ALVAREZ THOMAS AV.",1445,"MECÁNICA","Villa Ortuzar","Comuna 15","1427.0","C1427CDB","campanas_verdes"
"-58.4715591844298","-34.5780555335026","ALVAREZ THOMAS AV.",2155,"MECÁNICA","Villa Ortuzar","Comuna 15","1430.0","C1430EEB","campanas_verdes"
"-58.4556103574366","-34.6441751583949","ALVAREZ, CRISOSTOMO",2711,"MECÁNICA","Flores","Comuna 7","1406.0","C1406HUC","campanas_verdes"
"-58.4583364495363","-34.6461893339948","ALVAREZ, CRISOSTOMO",2985,"MECÁNICA","Flores","Comuna 7","1406.0","C1406HUG","campanas_verdes"
"-58.4604426951362","-34.6477087596948","ALVAREZ, CRISOSTOMO",3173,"MECÁNICA","Flores","Comuna 7","1406.0","C1406HUK","campanas_verdes"
"-58.4674709860357","-34.6545635070946","ALVAREZ, CRISOSTOMO",3866,"MECÁNICA","Parque Avellaneda","Comuna 9","1407.0","C1407HXL","campanas_verdes"
"-58.4737891503352","-34.6609174851943","ALVAREZ, CRISOSTOMO",4458,"MECÁNICA","Parque Avellaneda","Comuna 9","1439.0","C1439AWD","campanas_verdes"
"-58.4929660842337","-34.6778193981938","ALVAREZ, CRISOSTOMO",6793,"MECÁNICA","Villa Lugano","Comuna 8","1439.0","C1439AYA","campanas_verdes"
"-58.4568841414347","-34.6192768870975","ALVAREZ, DONATO, TTE. GRAL.",559,"MECÁNICA","Caballito","Comuna 6","1406.0","C1406BOD","campanas_verdes"
"-58.4597280383339","-34.6135164385982","ALVAREZ, DONATO, TTE. GRAL.",1120,"MECÁNICA","Villa Gral. Mitre","Comuna 11","1416.0","C1416BTN","campanas_verdes"
"-58.4612165649335","-34.6102322250987","ALVAREZ, DONATO, TTE. GRAL.",1445,"MECÁNICA","Caballito","Comuna 6","1416.0","C1416BTD","campanas_verdes"
"-58.4685417391314","-34.5950703004007","ALVAREZ, DONATO, TTE. GRAL. AV.",2556,"MECÁNICA","Paternal","Comuna 15","1427.0","C1427AQN","campanas_verdes"
